epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.647,2.17999,4.32239,2.89002,2.10919,0.16621,0.14706,0.06933,0.01961,0.12066,0.10675,0.0371,0.00774,2.44602,4.91866,3.17688,2.74006,0.000662309,0.000662309,0.000662309
2,1619.42,2.19807,4.01175,2.75756,2.12369,0.07995,0.10839,0.0329,0.00911,0.0466,0.06318,0.01635,0.00437,2.7166,4.56711,4.00548,2.70782,0.00127635,0.00127635,0.00127635
3,2435.29,2.22874,4.04011,2.73881,2.13343,0.13355,0.13126,0.0645,0.01949,0.12749,0.09532,0.04222,0.00971,2.46429,4.61045,3.44988,2.51936,0.00183759,0.00183759,0.00183759
4,3237.1,2.16905,3.96898,2.70705,2.11671,0.17966,0.17375,0.09312,0.02826,0.16669,0.13617,0.06706,0.01692,2.41286,3.97334,2.93943,2.59546,0.0017624,0.0017624,0.0017624
5,4049.52,2.12976,3.93331,2.68911,2.10914,0.14591,0.17266,0.0705,0.02313,0.14673,0.13508,0.05777,0.01609,2.34741,3.85118,3.21107,2.44652,0.0016832,0.0016832,0.0016832
6,4838.36,2.08642,3.87337,2.5987,2.0655,0.27896,0.17006,0.14154,0.04455,0.26173,0.14924,0.10994,0.02693,2.26289,3.71131,2.75161,2.43952,0.001604,0.001604,0.001604
7,5647.55,2.05538,3.81884,2.5221,2.03843,0.26844,0.23039,0.15769,0.05126,0.24928,0.18519,0.11817,0.03296,2.29727,3.84648,2.87964,2.36922,0.0015248,0.0015248,0.0015248
8,6442.22,2.03135,3.73088,2.47212,1.99629,0.32103,0.24946,0.19491,0.07397,0.30383,0.21037,0.16137,0.04968,2.15125,3.59956,2.49107,2.26492,0.0014456,0.0014456,0.0014456
9,7244.42,1.97985,3.68625,2.43233,1.98277,0.31128,0.26035,0.21216,0.07383,0.29581,0.22658,0.17413,0.04898,2.17599,3.62856,2.65378,2.28051,0.0013664,0.0013664,0.0013664
10,8036.78,1.96731,3.65966,2.39204,1.96094,0.32342,0.25599,0.21009,0.07472,0.29355,0.21678,0.17374,0.05109,2.16858,3.63497,2.52492,2.21298,0.0012872,0.0012872,0.0012872
11,8836.33,1.93412,3.63002,2.34304,1.92415,0.38493,0.25054,0.23377,0.08608,0.37087,0.22495,0.20298,0.05846,2.13361,3.53322,2.47044,2.27917,0.001208,0.001208,0.001208
12,9635.33,1.92911,3.55373,2.29517,1.90987,0.34845,0.27941,0.25822,0.09852,0.33752,0.23747,0.21707,0.06686,2.07528,3.41928,2.35456,2.13516,0.0011288,0.0011288,0.0011288
13,10425.4,1.90126,3.5242,2.26422,1.90174,0.36893,0.26743,0.23891,0.08625,0.32009,0.23203,0.19028,0.05453,2.13224,3.47368,2.43233,2.30568,0.0010496,0.0010496,0.0010496
14,11225.6,1.86981,3.48334,2.21936,1.88096,0.41544,0.30882,0.29203,0.11311,0.40277,0.26035,0.2444,0.07086,2.0667,3.36108,2.33287,2.20428,0.0009704,0.0009704,0.0009704
15,12020.5,1.85905,3.4243,2.17189,1.86358,0.43135,0.34368,0.32031,0.1268,0.42084,0.3061,0.28061,0.08602,2.03867,3.4184,2.18995,2.16021,0.0008912,0.0008912,0.0008912
16,12791.4,1.87059,3.47837,2.18882,1.97017,0.41821,0.31427,0.30602,0.11853,0.43965,0.28322,0.27303,0.08811,2.03974,3.28711,2.23634,2.15811,0.000812,0.000812,0.000812
17,13560.6,1.84951,3.3899,2.07666,1.94563,0.41991,0.33749,0.29578,0.12148,0.35364,0.28867,0.22766,0.06819,2.02427,3.37143,2.26639,2.22462,0.0007328,0.0007328,0.0007328
18,14328.5,1.81599,3.31725,2.01105,1.92668,0.45868,0.36819,0.35981,0.15126,0.43505,0.33824,0.31142,0.10132,1.92819,3.22133,2.09114,2.08027,0.0006536,0.0006536,0.0006536
19,15097,1.76215,3.25642,1.94391,1.8915,0.44268,0.36819,0.34929,0.15137,0.41808,0.33457,0.30106,0.10141,1.94602,3.21041,2.09388,2.16099,0.0005744,0.0005744,0.0005744
20,15868.3,1.74226,3.1827,1.86648,1.86294,0.50451,0.39978,0.39379,0.17218,0.46806,0.36383,0.34248,0.11677,1.91749,3.19202,2.02361,2.06848,0.0004952,0.0004952,0.0004952
21,16633.3,1.69802,3.14231,1.81848,1.83941,0.53453,0.39488,0.40448,0.1809,0.52613,0.34858,0.35931,0.12585,1.91568,3.13743,1.97094,2.08896,0.000416,0.000416,0.000416
22,17396.8,1.64976,3.07929,1.74694,1.791,0.5417,0.40959,0.43333,0.19945,0.50625,0.36656,0.38142,0.13444,1.87483,3.09455,1.91205,2.06118,0.0003368,0.0003368,0.0003368
23,18161.4,1.63889,3.05623,1.71103,1.78475,0.57772,0.43246,0.45782,0.21969,0.58479,0.37691,0.41808,0.1515,1.84016,3.02538,1.82496,2.01583,0.0002576,0.0002576,0.0002576
24,18923.5,1.60443,2.98756,1.64883,1.74794,0.60108,0.42756,0.46374,0.22221,0.56028,0.39651,0.41963,0.15565,1.83462,3.02235,1.81247,2.01482,0.0001784,0.0001784,0.0001784
25,19687.8,1.57983,2.93925,1.60663,1.71758,0.58759,0.44172,0.48083,0.23034,0.58899,0.3927,0.43176,0.16196,1.83283,3.03786,1.79335,2.00976,9.92e-05,9.92e-05,9.92e-05
