epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.628,2.24464,4.72329,3.06505,2.20656,0.00386,0.58497,0.03619,0.01079,0.00159,0.24183,0.02274,0.00592,2.66363,6.69458,3.68912,2.88417,0.000649573,0.000649573,0.000649573
2,631.012,2.30367,4.06203,2.95619,2.18874,0.09409,0.05773,0.0267,0.00753,0.08341,0.04431,0.01683,0.00311,2.73744,8.10608,3.41518,3.14679,0.00105562,0.00105562,0.00105562
3,927.474,2.22274,4.0288,2.83991,2.20308,0.06116,0.06373,0.01678,0.00564,0.05688,0.04194,0.01144,0.00365,3.00268,6.17355,3.74245,3.07143,0.00119768,0.00119768,0.00119768
4,1227.34,2.17176,3.98536,2.79852,2.13278,0.16017,0.11928,0.06444,0.01745,0.16902,0.10802,0.04793,0.01112,2.64167,5.4553,3.30269,2.70492,0.000812,0.000812,0.000812
5,1523.61,2.11058,3.8352,2.69699,2.08396,0.23549,0.16394,0.11412,0.03718,0.22235,0.15686,0.09569,0.02639,2.29415,3.88489,2.93236,2.42065,0.000416,0.000416,0.000416
